PID,keywords,mods.grants,mods.abstract,fgs.state,dc.title,dc.language,mods.sm_key_words,fgs.lastModifiedDate,mods.sm_collection,mods.language,mods.title,mods.sm_report_number,dc.subject,mods.sm_corporate_creator,rdf.isOpenAccess,mods.origin,dc.description,mods.raw_date,mods.sm_format,mods.sm_oclc_number,rdf.redirectsTo,mods.sm_geographical_coverage,mods.subject_topic,fgs.createdDate,mods.sm_ntl_classification,mods.sm_resource_type,mods.sm_edition,mods.sm_corporate_publisher,DS1.mimetype_txt_en,DS1.label_txt_en,DS1.filesize_tl,DS1.checksum_txt_en,mods.ss_publishyear,fgs.ownerId,rdf.isMemberOf,dc.identifier,mods.sm_creator,fgs.label,rdf.isPeerTo,mods.sm_digital_object_identifier,mods.ss_jobid,DS2.mimetype_txt_en,DS2.label_txt_en,DS2.filesize_tl,DS2.checksum_txt_en,DS2.sourceurl,dc.publisher,dc.format,dc.type,dc.creator,dc.coverage,DS1.sourceurl,mods.orcidId,mods.sm_contributor,dc.contributor,mods.alt_title,mods.note,mods.sm_corporate_contributor,DS_EXCEL.mimetype_txt_en,DS_EXCEL.label_txt_en,DS_EXCEL.filesize_tl,DS_EXCEL.checksum_txt_en,mods.sm_contracting_officer,DS3.mimetype_txt_en,DS3.label_txt_en,DS3.filesize_tl,DS3.checksum_txt_en,DS3.sourceurl,DS4.mimetype_txt_en,DS4.label_txt_en,DS4.filesize_tl,DS4.checksum_txt_en,DS4.sourceurl,mods.sm_alternate_url,mods.table_of_contents,rdf.underCategory,rdf.hasOrder,rdf.isCollection,rdf.categoryOrder,rdf.isFeaturedCollection,mods.sm_rights_statement,mods.related_series,DS_MS_NON_EXCEL.mimetype_txt_en,DS_MS_NON_EXCEL.label_txt_en,DS_MS_NON_EXCEL.filesize_tl,DS_MS_NON_EXCEL.checksum_txt_en,mods.sm_tris_online_accession_number,rdf.hasExternalLink,rdf.hasMoreDocuments,DS5.mimetype_txt_en,DS5.label_txt_en,DS5.filesize_tl,DS5.checksum_txt_en,DS5.sourceurl,DS10.mimetype_txt_en,DS10.label_txt_en,DS10.filesize_tl,DS10.checksum_txt_en,DS10.sourceurl,DS11.mimetype_txt_en,DS11.label_txt_en,DS11.filesize_tl,DS11.checksum_txt_en,DS11.sourceurl,DS12.mimetype_txt_en,DS12.label_txt_en,DS12.filesize_tl,DS12.checksum_txt_en,DS12.sourceurl,DS13.mimetype_txt_en,DS13.label_txt_en,DS13.filesize_tl,DS13.checksum_txt_en,DS13.sourceurl,DS14.mimetype_txt_en,DS14.label_txt_en,DS14.filesize_tl,DS14.checksum_txt_en,DS14.sourceurl,DS15.mimetype_txt_en,DS15.label_txt_en,DS15.filesize_tl,DS15.checksum_txt_en,DS15.sourceurl,DS16.mimetype_txt_en,DS16.label_txt_en,DS16.filesize_tl,DS16.checksum_txt_en,DS16.sourceurl,DS17.mimetype_txt_en,DS17.label_txt_en,DS17.filesize_tl,DS17.checksum_txt_en,DS17.sourceurl,DS18.mimetype_txt_en,DS18.label_txt_en,DS18.filesize_tl,DS18.checksum_txt_en,DS18.sourceurl,DS6.mimetype_txt_en,DS6.label_txt_en,DS6.filesize_tl,DS6.checksum_txt_en,DS6.sourceurl,DS7.mimetype_txt_en,DS7.label_txt_en,DS7.filesize_tl,DS7.checksum_txt_en,DS7.sourceurl,DS8.mimetype_txt_en,DS8.label_txt_en,DS8.filesize_tl,DS8.checksum_txt_en,DS8.sourceurl,DS9.mimetype_txt_en,DS9.label_txt_en,DS9.filesize_tl,DS9.checksum_txt_en,DS9.sourceurl,DS_MS_NON_EXCEL.sourceurl,rdf.isSpotlightChild,rdf.isSupersededBy,mods.sm_isbn,mods.sm_issn,mods.physical_description,mods.sm_copyright_date,mods.sm_publisher,rdf.isGRFeaturedChild,rdf.isFeatured,rdf.featuredType,rdf.inSpotlight,rdf.featuredUrl,rdf.isGRFeatured,dc.rights,rdf.featuredPosition,rdf.featuredPositionTemp,DS19.mimetype_txt_en,DS19.label_txt_en,DS19.filesize_tl,DS19.checksum_txt_en,DS19.sourceurl,DS20.mimetype_txt_en,DS20.label_txt_en,DS20.filesize_tl,DS20.checksum_txt_en,DS20.sourceurl,DS21.mimetype_txt_en,DS21.label_txt_en,DS21.filesize_tl,DS21.checksum_txt_en,DS21.sourceurl,DS22.mimetype_txt_en,DS22.label_txt_en,DS22.filesize_tl,DS22.checksum_txt_en,DS22.sourceurl,DS23.mimetype_txt_en,DS23.label_txt_en,DS23.filesize_tl,DS23.checksum_txt_en,DS23.sourceurl,DS24.mimetype_txt_en,DS24.label_txt_en,DS24.filesize_tl,DS24.checksum_txt_en,DS24.sourceurl,DS25.mimetype_txt_en,DS25.label_txt_en,DS25.filesize_tl,DS25.checksum_txt_en,DS25.sourceurl,DS26.mimetype_txt_en,DS26.label_txt_en,DS26.filesize_tl,DS26.checksum_txt_en,DS26.sourceurl,DS27.mimetype_txt_en,DS27.label_txt_en,DS27.filesize_tl,DS27.checksum_txt_en,DS27.sourceurl,DS28.mimetype_txt_en,DS28.label_txt_en,DS28.filesize_tl,DS28.checksum_txt_en,DS28.sourceurl,DS29.mimetype_txt_en,DS29.label_txt_en,DS29.filesize_tl,DS29.checksum_txt_en,DS29.sourceurl,DS30.mimetype_txt_en,DS30.label_txt_en,DS30.filesize_tl,DS30.checksum_txt_en,DS30.sourceurl,DS31.mimetype_txt_en,DS31.label_txt_en,DS31.filesize_tl,DS31.checksum_txt_en,DS31.sourceurl,DS32.mimetype_txt_en,DS32.label_txt_en,DS32.filesize_tl,DS32.checksum_txt_en,DS32.sourceurl,DS33.mimetype_txt_en,DS33.label_txt_en,DS33.filesize_tl,DS33.checksum_txt_en,DS33.sourceurl,DS34.mimetype_txt_en,DS34.label_txt_en,DS34.filesize_tl,DS34.checksum_txt_en,DS34.sourceurl,rdf.quickLinkUrl,rdf.isQuickLink,rdf.underSection,DS_EXCEL.sourceurl,mods.embargo_date,rdf.hasDataset,rdf.hasPublication,mods.ss_keyvalue,mods.sm_researchhub_id,dc.date,dc.source,dc.identifier.uri,dc.contributor.author,dc.contributor.collaborator,dc.coverage.spatial,dc.contributor.creator,dc.relation.isPartOf,dc.description.abstract,dc.rights.accessRights,dc.relation.isVersionOf,dc.contributor.consultant,dc.description.tableOfContents,dc.title.alternative,DS1.checksumsha256_txt_en,rdf.hasMultipleLanguage,DS2.checksumsha256_txt_en,DS3.checksumsha256_txt_en,DS4.checksumsha256_txt_en,DS5.checksumsha256_txt_en,DS6.checksumsha256_txt_en,DS7.checksumsha256_txt_en,mods.ss_hasQLOrder,DS_MS_NON_EXCEL.checksumsha256_txt_en,dc.relation.isReferencedBy,DS10.checksumsha256_txt_en,DS11.checksumsha256_txt_en,DS12.checksumsha256_txt_en,DS13.checksumsha256_txt_en,DS14.checksumsha256_txt_en,DS15.checksumsha256_txt_en,DS16.checksumsha256_txt_en,DS17.checksumsha256_txt_en,DS18.checksumsha256_txt_en,DS8.checksumsha256_txt_en,DS9.checksumsha256_txt_en
dot:51143,,,PART 71,Active,"Part 71: Airspace Docket No. 62-CE-67: Alteration Of Control Zone\, Revocation Of Control Area Extension\, And Designation Of Transition Area",English,"Air traffic control,Airspace (Aeronautics)",2020-10-02T17:39:22.820Z,Civil Aeronautics Regulations,English,"Part 71: Airspace Docket No. 62-CE-67: Alteration Of Control Zone, Revocation Of Control Area Extension, And Designation Of Transition Area",,,Civil Aeronautics Board,true,"1963-08-12; \,","Civil Aeronautics Regulations,https://doi.org/10.21949/1517027,1963,PDF,Tech Report,Civil Aeronautics Board,Civil Aeronautics Board,United States,Air traffic control,Airspace (Aeronautics),PART 71,988",1963-08-12,PDF,,,United States,,2020-10-02T17:01:01.615Z,,Tech Report,,Civil Aeronautics Board,application/pdf,C71ce67.PDF,85500,urn:sha256:d259f577a83c8dcbe527ea326c8219a98549a31ab971567546e76362631eb107,1963,,dot:50942,,,,,https://doi.org/10.21949/1517027,988,,,,,,,,,,,C71ce67.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:51949,,,PART 33,Active,Part 33: Amendment 33-6: Airman Identification Card,English,"Air traffic control,Certification",2020-10-05T20:34:32.139Z,Civil Aeronautics Regulations,English,Part 33: Amendment 33-6: Airman Identification Card,,,Civil Aeronautics Board,true,"1953-05-21; \,","Civil Aeronautics Regulations,https://doi.org/10.21949/1515860,1953,PDF,Tech Report,Civil Aeronautics Board,Civil Aeronautics Board,United States,Air traffic control,Certification,PART 33,991",1953-05-21,PDF,,,United States,,2020-10-05T20:17:46.280Z,,Tech Report,,Civil Aeronautics Board,application/pdf,CAR33c6.PDF,67414,urn:sha256:ae8641af8903a2f97992ff884742a4586f3156b25ebc4b0043057286366a166d,1953,,dot:50942,,,,,https://doi.org/10.21949/1515860,991,,,,,,,,,,,CAR33c6.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:51356,,,PART 25,Active,Part 25: Amendment 25-4: Temporary Parachute Technician Certificates,English,"Air traffic control,Certification",2020-10-02T17:39:48.912Z,Civil Aeronautics Regulations,English,Part 25: Amendment 25-4: Temporary Parachute Technician Certificates,,,Civil Aeronautics Board,true,"1947-06-27; \,","Civil Aeronautics Regulations,https://doi.org/10.21949/1515775,1947,PDF,Tech Report,Civil Aeronautics Board,Civil Aeronautics Board,United States,Air traffic control,Certification,PART 25,988",1947-06-27,PDF,,,United States,,2020-10-02T17:04:53.380Z,,Tech Report,,Civil Aeronautics Board,application/pdf,C93.PDF,51566,urn:sha256:439f85488b45299166d194242016518f4a8419e4762f572cc13a74ea4bd8e260,1947,,dot:50942,,,,,https://doi.org/10.21949/1515775,988,,,,,,,,,,,C93.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:50964,,,MULTIPLE PARTS,Active,"Parts 004b\, 40\, 41\, 42\, 46: Release No 62-51: Requirement For Air Carrier Continuous Airworthiness Program",English,Air traffic control,2020-10-02T17:39:04.096Z,Civil Aeronautics Regulations,English,"Parts 004b, 40, 41, 42, 46: Release No 62-51: Requirement For Air Carrier Continuous Airworthiness Program",,,Civil Aeronautics Board,true,"1962-12-03; \,","Civil Aeronautics Regulations,https://doi.org/10.21949/1517462,1962,PDF,Tech Report,Civil Aeronautics Board,Civil Aeronautics Board,United States,Air traffic control,MULTIPLE PARTS,988",1962-12-03,PDF,,,United States,,2020-10-02T16:57:24.172Z,,Tech Report,,Civil Aeronautics Board,application/pdf,C328.PDF,440447,urn:sha256:2ab0b6b6820ffa77b9cf24b28d4cf2df77ccc116742dd86dcff68b1e2d3afb68,1962,,dot:50942,,,,,https://doi.org/10.21949/1517462,988,,,,,,,,,,,C328.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:52497,,,MULTIPLE PARTS,Active,"Parts 004a\, 42\, 43: Regulation No. 399d: Provisional Maximum Take-Off Weights For Certain Airplanes Operated By Alaskan Air Carrier And By The Department Of The Interior.",English,"Air traffic control,Regulations",2020-10-05T20:35:45.844Z,Civil Aeronautics Regulations,English,"Parts 004a, 42, 43: Regulation No. 399d: Provisional Maximum Take-Off Weights For Certain Airplanes Operated By Alaskan Air Carrier And By The Department Of The Interior.",,,Civil Aeronautics Board,true,"1961-06-20; \,","Civil Aeronautics Regulations,https://doi.org/10.21949/1517421,1961,PDF,Tech Report,Civil Aeronautics Board,Civil Aeronautics Board,United States,Air traffic control,Regulations,MULTIPLE PARTS,991",1961-06-20,PDF,,,United States,,2020-10-05T20:28:57.756Z,,Tech Report,,Civil Aeronautics Board,application/pdf,SN111.PDF,112090,urn:sha256:e6f224f1f57e05fd386c15eef087c1c75accab4726c2964501bdcaeb3f69ec80,1961,,dot:50942,,,,,https://doi.org/10.21949/1517421,991,,,,,,,,,,,SN111.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:51877,,,PART 20,Active,Part 20: 20-8: Glider Flight Time,English,"Air traffic control,Certification",2020-10-05T20:34:22.978Z,Civil Aeronautics Regulations,English,Part 20: 20-8: Glider Flight Time,,,Civil Aeronautics Board,true,"1947-11-10; \,","Civil Aeronautics Regulations,https://doi.org/10.21949/1515610,1947,PDF,Tech Report,Civil Aeronautics Board,Civil Aeronautics Board,United States,Air traffic control,Certification,PART 20,991",1947-11-10,PDF,,,United States,,2020-10-05T20:16:16.814Z,,Tech Report,,Civil Aeronautics Board,application/pdf,CAR20B8.PDF,86626,urn:sha256:cd4beb306c7abcff7fc610df5957067fbcf7f800fb90f9c64fee66d9ef980507,1947,,dot:50942,,,,,https://doi.org/10.21949/1515610,991,,,,,,,,,,,CAR20B8.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:53149,,,PART 62,Active,Part 62: Notification And Reporting Of Aircrafts Accidents And Overdue Aircraft,English,"Air traffic control,Crashes",2020-10-06T16:58:51.992Z,Civil Aeronautics Regulations,English,Part 62: Notification And Reporting Of Aircrafts Accidents And Overdue Aircraft,,,Civil Aeronautics Board,true,"1954-02-11; \,","Civil Aeronautics Regulations,https://doi.org/10.21949/1516922,1954,PDF,Tech Report,Civil Aeronautics Board,Civil Aeronautics Board,United States,Air traffic control,Crashes,PART 62,993",1954-02-11,PDF,,,United States,,2020-10-06T15:37:17.133Z,,Tech Report,,Civil Aeronautics Board,application/pdf,SR62m.PDF,548502,urn:sha256:bc3da8a61108e4e7b67daa5dbe4004b60b09a8a007f08998a24eb82e26a1fd95,1954,,dot:50942,,,,,https://doi.org/10.21949/1516922,993,,,,,,,,,,,SR62m.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:53224,,,PART 71,Active,Part 71: No. 63-CE-18: Alteration Of Control Zone And Designation Of Transition Area:,English,Air traffic control,2020-10-06T16:59:01.332Z,Civil Aeronautics Regulations,English,Part 71: No. 63-CE-18: Alteration Of Control Zone And Designation Of Transition Area:,,,Civil Aeronautics Board,true,"1963-07-22; \,","Civil Aeronautics Regulations,https://doi.org/10.21949/1516999,1963,PDF,Tech Report,Civil Aeronautics Board,Civil Aeronautics Board,United States,Air traffic control,PART 71,993",1963-07-22,PDF,,,United States,,2020-10-06T15:38:51.798Z,,Tech Report,,Civil Aeronautics Board,application/pdf,SR63CE18.PDF,257459,urn:sha256:344b6ccaba92a00a4ee3686bdfe6293357b42cbfca7aeed465d0568ef440907d,1963,,dot:50942,,,,,https://doi.org/10.21949/1516999,993,,,,,,,,,,,SR63CE18.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:52665,,,PART 399,Active,Part 399: Regulation Policy Statement No. 4: Confidential Treatment Of Preliminary Year-End Reports,English,"Air traffic control,Regulations",2020-10-06T16:57:48.038Z,Civil Aeronautics Regulations,English,Part 399: Regulation Policy Statement No. 4: Confidential Treatment Of Preliminary Year-End Reports,,,Civil Aeronautics Board,true,"1958-05-08; \,","Civil Aeronautics Regulations,https://doi.org/10.21949/1517252,1958,PDF,Tech Report,Civil Aeronautics Board,Civil Aeronautics Board,United States,Air traffic control,Regulations,PART 399,993",1958-05-08,PDF,,,United States,,2020-10-06T15:27:07.822Z,,Tech Report,,Civil Aeronautics Board,application/pdf,SR399d4.PDF,263892,urn:sha256:0c01da7b4f7a469474b527c6da21e1bfb44e9462275d7a4100ae4739df02e211,1958,,dot:50942,,,,,https://doi.org/10.21949/1517252,993,,,,,,,,,,,SR399d4.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:51807,,,PART 20,Active,Part 20: 20-168: Student Flight Limitations,English,"Air traffic control,Regulations",2020-10-05T20:34:15.557Z,Civil Aeronautics Regulations,English,Part 20: 20-168: Student Flight Limitations,,,Civil Aeronautics Board,true,"1941-06-13; \,","Civil Aeronautics Regulations,https://doi.org/10.21949/1515552,1941,PDF,Tech Report,Civil Aeronautics Board,Civil Aeronautics Board,United States,Air traffic control,Regulations,PART 20,991",1941-06-13,PDF,,,United States,,2020-10-05T20:14:56.868Z,,Tech Report,,Civil Aeronautics Board,application/pdf,CAR20168.PDF,41426,urn:sha256:806c3ad34006b51da17ca1c97b098897d693f3c4f2071490fff074f01e93e78a,1941,,dot:50942,,,,,https://doi.org/10.21949/1515552,991,,,,,,,,,,,CAR20168.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
